cases.0.samples.0.sample_id	cases.0.samples.0.submitter_id	cases.0.submitter_id	file_name	id
29aa25d6-197f-4728-b3ca-c2dfb59218a9	TCGA-DC-5869-01A	TCGA-DC-5869	e72f90e4-587b-40ef-a8a4-09f1a7f44d43.FPKM-UQ.txt.gz	cc8ddc27-a215-4a76-87af-8e5c30135b1e
90eb53b1-2ba9-451a-a931-7af513b2b47c	TCGA-EI-6511-01A	TCGA-EI-6511	6c80f823-8ac5-482c-870b-738c1fc88bfc.FPKM.txt.gz	79a4e4a5-08b1-4066-884f-c081e0648902
24c87fc0-4c58-4a70-8ba2-3fcfa2d00c77	TCGA-AZ-6605-11A	TCGA-AZ-6605	d4702ec9-068f-415a-832e-ed72eaa38699.htseq.counts.gz	4c97f570-0aed-4e5a-bcd8-21714ef9f31d
04dd54d3-e4d1-4c72-860b-20e971609a5a	TCGA-F4-6703-01A	TCGA-F4-6703	c2357737-ad60-4603-9ce3-4b30cc45d30b.htseq.counts.gz	5dcfcd50-6c7b-416d-ad35-12652a931f33
0d1b5f70-169a-415f-93f3-efe0ccc0e4c7	TCGA-CM-6165-01A	TCGA-CM-6165	020aa019-a3a4-4055-92ee-be824a597501.FPKM-UQ.txt.gz	f3f8531c-aaa6-43e8-a3c7-05c8bbe3e025
d8dce266-1073-4bf2-a714-748e7e942635	TCGA-QG-A5YW-01A	TCGA-QG-A5YW	9ab691dc-cbc9-4bc5-8bd9-865783762473.htseq.counts.gz	ce9aa48c-583a-4c1e-95fa-9b552a263273
a3d5af60-a1f3-4345-ace3-c000367aecc0	TCGA-D5-6926-01A	TCGA-D5-6926	a58a7a42-4dda-46cc-a9ec-4a3ca597d972.htseq.counts.gz	348dea34-6f71-4aed-a768-a4db41ba83a7
afc23299-5975-4ed8-b9f1-7b8fef14384b	TCGA-CK-5913-01A	TCGA-CK-5913	81a64df9-c073-4097-ba73-896396da3135.htseq.counts.gz	3a77c136-9ef3-4c0d-baae-6fb98f33d1cd
e29a1283-3e22-41f6-bc76-bfb244a044ae	TCGA-CM-6167-01A	TCGA-CM-6167	de592955-56f1-498c-adf6-99e382102476.FPKM.txt.gz	94392981-b9ac-4fa3-a7f2-45cc41142f24
71e604ba-4ebd-44e9-84bf-5ef09c37bb67	TCGA-F4-6806-01A	TCGA-F4-6806	97675f21-ce94-4e7c-bc46-179cc2903bf3.FPKM.txt.gz	50287245-6ed7-4bde-8323-36e7698adc6c
258dd9ce-a865-44d8-a665-f52f3cd368c1	TCGA-D5-6536-01A	TCGA-D5-6536	ced37a67-bf80-468d-8299-940bb9b88107.htseq.counts.gz	c4eca1f4-22d8-461f-80e2-99b63f0f9d27
87ffeaea-93d7-4c88-85b9-b1b29b7f8e1d	TCGA-AY-6386-01A	TCGA-AY-6386	c182c07a-224c-44b5-bf0e-9bcfaa33ecc1.FPKM.txt.gz	4db0a066-a493-4a12-ab78-655ca4f8c643
0985b9ce-b40a-40e1-b965-c52d69bfe76b	TCGA-F4-6807-01A	TCGA-F4-6807	c094c9e4-260c-4b2a-bbf2-2fdcad927677.FPKM-UQ.txt.gz	d8056e03-1dc7-473b-aeee-660ad3b38217
49075fad-2d3b-4732-8d6f-7c61cbb76372	TCGA-DM-A1D4-01A	TCGA-DM-A1D4	087666cd-47ae-4f56-b947-d6aa1c25e8a7.FPKM-UQ.txt.gz	f852c51b-89ed-49f2-9cc7-3fe02a600a74
